Date,Open,High,Low,Close,Volume,Adjusted Close
2016-04-29,17813.089844,17814.830078,17651.980469,17773.640625,136670000.0,17773.640625
2016-04-28,18023.880859,18035.730469,17796.550781,17830.759766,100920000.0,17830.759766
2016-04-27,17996.140625,18084.660156,17920.259766,18041.550781,109090000.0,18041.550781
2016-04-26,17987.380859,18043.769531,17934.169922,17990.320312,92570000.0,17990.320312
2016-04-25,17990.939453,17990.939453,17855.550781,17977.240234,83770000.0,17977.240234
2016-04-22,17985.050781,18026.849609,17909.890625,18003.75,134120000.0,18003.75
2016-04-21,18092.839844,18107.289062,17963.890625,17982.519531,102720000.0,17982.519531
2016-04-20,18059.490234,18167.630859,18031.210938,18096.269531,100210000.0,18096.269531
2016-04-19,18012.099609,18103.460938,17984.429688,18053.599609,89820000.0,18053.599609
2016-04-18,17890.199219,18009.529297,17848.220703,18004.160156,89390000.0,18004.160156
2016-04-15,17925.949219,17937.650391,17867.410156,17897.460938,118160000.0,17897.460938
2016-04-14,17912.25,17962.140625,17885.439453,17926.429688,84510000.0,17926.429688
2016-04-13,17741.660156,17918.349609,17741.660156,17908.279297,91710000.0,17908.279297
2016-04-12,17571.339844,17744.429688,17553.570312,17721.25,81020000.0,17721.25
2016-04-11,17586.480469,17731.630859,17555.900391,17556.410156,107100000.0,17556.410156
2016-04-08,17555.390625,17694.509766,17528.160156,17576.960938,79990000.0,17576.960938
2016-04-07,17687.279297,17687.279297,17484.230469,17541.960938,90120000.0,17541.960938
2016-04-06,17605.449219,17723.550781,17542.539062,17716.050781,99410000.0,17716.050781
2016-04-05,17718.029297,17718.029297,17579.560547,17603.320312,115230000.0,17603.320312
2016-04-04,17799.390625,17806.380859,17710.669922,17737.0,85230000.0,17737.0
2016-04-01,17661.740234,17811.480469,17568.019531,17792.75,104890000.0,17792.75
2016-03-31,17716.050781,17755.699219,17669.720703,17685.089844,102600000.0,17685.089844
2016-03-30,17652.359375,17790.109375,17652.359375,17716.660156,79330000.0,17716.660156
2016-03-29,17512.580078,17642.810547,17434.269531,17633.109375,86160000.0,17633.109375
2016-03-28,17526.080078,17583.810547,17493.029297,17535.390625,70460000.0,17535.390625
2016-03-24,17485.330078,17517.140625,17399.009766,17515.730469,84100000.0,17515.730469
2016-03-23,17588.810547,17588.810547,17486.269531,17502.589844,84240000.0,17502.589844
2016-03-22,17602.710938,17648.939453,17540.419922,17582.570312,95450000.0,17582.570312
2016-03-21,17589.699219,17644.970703,17551.279297,17623.869141,84410000.0,17623.869141
2016-03-18,17481.490234,17620.580078,17481.490234,17602.300781,321230000.0,17602.300781
2016-03-17,17321.380859,17529.009766,17297.650391,17481.490234,117990000.0,17481.490234
2016-03-16,17249.339844,17379.179688,17204.070312,17325.759766,118710000.0,17325.759766
2016-03-15,17217.150391,17251.699219,17120.349609,17251.529297,92830000.0,17251.529297
2016-03-14,17207.490234,17275.070312,17161.160156,17229.130859,96350000.0,17229.130859
2016-03-11,17014.990234,17220.089844,17014.990234,17213.310547,123420000.0,17213.310547
2016-03-10,17006.050781,17130.109375,16821.859375,16995.130859,117570000.0,16995.130859
2016-03-09,16969.169922,17048.5,16947.939453,17000.359375,116690000.0,17000.359375
2016-03-08,17050.669922,17072.789062,16921.509766,16964.099609,108380000.0,16964.099609
2016-03-07,16991.289062,17099.25,16940.480469,17073.949219,100290000.0,17073.949219
2016-03-04,16945.0,17062.380859,16898.839844,17006.769531,106910000.0,17006.769531
2016-03-03,16896.169922,16944.310547,16820.730469,16943.900391,91110000.0,16943.900391
2016-03-02,16851.169922,16900.169922,16766.320312,16899.320312,104470000.0,16899.320312
2016-03-01,16545.669922,16865.560547,16545.669922,16865.080078,105050000.0,16865.080078
2016-02-29,16634.150391,16726.119141,16510.400391,16516.5,126220000.0,16516.5
2016-02-26,16712.699219,16795.980469,16623.910156,16639.970703,98480000.0,16639.970703
2016-02-25,16504.380859,16697.980469,16458.419922,16697.289062,94120000.0,16697.289062
2016-02-24,16418.839844,16507.390625,16165.860352,16484.990234,93620000.0,16484.990234
2016-02-23,16610.390625,16610.390625,16403.529297,16431.779297,98170000.0,16431.779297
2016-02-22,16417.130859,16664.240234,16417.130859,16620.660156,102240000.0,16620.660156
2016-02-19,16410.960938,16410.960938,16278.0,16391.990234,134340000.0,16391.990234
2016-02-18,16483.759766,16511.839844,16390.429688,16413.429688,104950000.0,16413.429688
2016-02-17,16217.980469,16486.119141,16217.980469,16453.830078,124080000.0,16453.830078
2016-02-16,16012.389648,16196.410156,16012.389648,16196.410156,142030000.0,16196.410156
2016-02-12,15691.620117,15974.040039,15691.620117,15973.839844,132550000.0,15973.839844
2016-02-11,15897.820312,15897.820312,15503.009766,15660.179688,172070000.0,15660.179688
2016-02-10,16035.610352,16201.889648,15899.910156,15914.740234,122290000.0,15914.740234
2016-02-09,16005.410156,16136.620117,15881.110352,16014.379883,127740000.0,16014.379883
2016-02-08,16147.509766,16147.509766,15803.549805,16027.049805,165880000.0,16027.049805
2016-02-05,16417.949219,16423.630859,16129.80957,16204.969727,139010000.0,16204.969727
2016-02-04,16329.669922,16485.839844,16266.160156,16416.580078,131490000.0,16416.580078
2016-02-03,16186.200195,16381.69043,15960.450195,16336.660156,141870000.0,16336.660156
2016-02-02,16420.210938,16420.210938,16108.44043,16153.540039,126210000.0,16153.540039
2016-02-01,16453.630859,16510.980469,16299.469727,16449.179688,114450000.0,16449.179688
2016-01-29,16090.259766,16466.300781,16090.259766,16466.300781,217940000.0,16466.300781
2016-01-28,15960.280273,16102.139648,15863.719727,16069.639648,130120000.0,16069.639648
2016-01-27,16168.740234,16235.030273,15878.299805,15944.459961,138350000.0,15944.459961
2016-01-26,15893.160156,16185.790039,15893.160156,16167.230469,118210000.0,16167.230469
2016-01-25,16086.459961,16086.459961,15880.150391,15885.219727,123250000.0,15885.219727
2016-01-22,15921.099609,16136.790039,15921.099609,16093.509766,145850000.0,16093.509766
2016-01-21,15768.870117,16038.589844,15704.660156,15882.679688,145140000.0,15882.679688
2016-01-20,15989.450195,15989.450195,15450.55957,15766.740234,191870000.0,15766.740234
2016-01-19,16009.450195,16171.959961,15900.25,16016.019531,144360000.0,16016.019531
2016-01-15,16354.330078,16354.330078,15842.110352,15988.080078,239210000.0,15988.080078
2016-01-14,16159.009766,16482.050781,16075.120117,16379.049805,158830000.0,16379.049805
2016-01-13,16526.630859,16593.509766,16123.200195,16151.410156,153530000.0,16151.410156
2016-01-12,16419.109375,16591.349609,16322.070312,16516.220703,117480000.0,16516.220703
2016-01-11,16358.709961,16461.849609,16232.030273,16398.570312,127790000.0,16398.570312
2016-01-08,16519.169922,16651.890625,16314.570312,16346.450195,141850000.0,16346.450195
2016-01-07,16888.359375,16888.359375,16463.630859,16514.099609,176240000.0,16514.099609
2016-01-06,17154.830078,17154.830078,16817.619141,16906.509766,120250000.0,16906.509766
2016-01-05,17147.5,17195.839844,17038.609375,17158.660156,105750000.0,17158.660156
2016-01-04,17405.480469,17405.480469,16957.630859,17148.939453,148060000.0,17148.939453
